"date","year","month","day","9414001"
2003-11-01,"2003","11","01",109.018
2003-12-01,"2003","12","01",121.448
2004-01-01,"2004","01","01",157.645
2004-02-01,"2004","02","01",132.928
2004-03-01,"2004","03","01",96.971
2004-04-01,"2004","04","01",49.184
2004-05-01,"2004","05","01",37.531
2004-06-01,"2004","06","01",21.823
2004-07-01,"2004","07","01",24.282
2004-08-01,"2004","08","01",39.784
2004-09-01,"2004","09","01",61.349
2004-10-01,"2004","10","01",81.812
2004-11-01,"2004","11","01",115.03
2004-12-01,"2004","12","01",130.211
2005-01-01,"2005","01","01",141.072
2005-02-01,"2005","02","01",136.49
2005-03-01,"2005","03","01",90.332
2005-04-01,"2005","04","01",53.647
2005-05-01,"2005","05","01",27.512
2005-06-01,"2005","06","01",19.637
2005-07-01,"2005","07","01",25.865
2005-08-01,"2005","08","01",34.364
2005-09-01,"2005","09","01",60.103
2005-10-01,"2005","10","01",87.956
2005-11-01,"2005","11","01",106.129
2005-12-01,"2005","12","01",142.989
2006-01-01,"2006","01","01",148.851
2006-02-01,"2006","02","01",125.413
2006-03-01,"2006","03","01",88.964
2006-04-01,"2006","04","01",57.491
2006-05-01,"2006","05","01",38.398
2006-06-01,"2006","06","01",21.352
2006-07-01,"2006","07","01",23.822
2006-08-01,"2006","08","01",39.724
2006-09-01,"2006","09","01",61.107
2006-10-01,"2006","10","01",84.954
2006-11-01,"2006","11","01",118.154
2006-12-01,"2006","12","01",126.032
2007-01-01,"2007","01","01",151.4
2007-02-01,"2007","02","01",110.827
2007-03-01,"2007","03","01",96.08
2007-04-01,"2007","04","01",54.67
2007-05-01,"2007","05","01",32.954
2007-06-01,"2007","06","01",20.599
2007-07-01,"2007","07","01",21.064
2007-08-01,"2007","08","01",33.902
2007-09-01,"2007","09","01",58.924
2007-10-01,"2007","10","01",81.076
2007-11-01,"2007","11","01",111.9
2007-12-01,"2007","12","01",140.424
2008-01-01,"2008","01","01",154.73
2008-02-01,"2008","02","01",139.471
2008-03-01,"2008","03","01",99.747
2008-04-01,"2008","04","01",53.437
2008-05-01,"2008","05","01",34.94
2008-06-01,"2008","06","01",21.794
2008-07-01,"2008","07","01",24.475
2008-08-01,"2008","08","01",32.102
2008-09-01,"2008","09","01",67.524
2008-10-01,"2008","10","01",94.845
2008-11-01,"2008","11","01",125.218
2008-12-01,"2008","12","01",157.719
2009-01-01,"2009","01","01",162.538
2009-02-01,"2009","02","01",118.564
2009-03-01,"2009","03","01",104.062
2009-04-01,"2009","04","01",63.911
2009-05-01,"2009","05","01",33.317
2009-06-01,"2009","06","01",24.22
2009-07-01,"2009","07","01",24.617
2009-08-01,"2009","08","01",34.342
2009-09-01,"2009","09","01",60.942
2009-10-01,"2009","10","01",78.08
2009-11-01,"2009","11","01",85.988
2009-12-01,"2009","12","01",129.182
2010-01-01,"2010","01","01",144.099
2010-02-01,"2010","02","01",110.755
2010-03-01,"2010","03","01",98.991
2010-04-01,"2010","04","01",54.947
2010-05-01,"2010","05","01",35.916
2010-06-01,"2010","06","01",21.063
2010-07-01,"2010","07","01",21.378
2010-08-01,"2010","08","01",34.003
2010-09-01,"2010","09","01",56.704
2010-10-01,"2010","10","01",88.841
2010-11-01,"2010","11","01",111.283
2010-12-01,"2010","12","01",130.772
2011-01-01,"2011","01","01",141.848
2011-02-01,"2011","02","01",122.97
2011-03-01,"2011","03","01",90.875
2011-04-01,"2011","04","01",54.501
2011-05-01,"2011","05","01",36.807
2011-06-01,"2011","06","01",22.478
2011-07-01,"2011","07","01",24.041
2011-08-01,"2011","08","01",34.387
2011-09-01,"2011","09","01",59.652
2011-10-01,"2011","10","01",90.591
2011-11-01,"2011","11","01",114.718
2011-12-01,"2011","12","01",162.652
2012-01-01,"2012","01","01",158.082
2012-02-01,"2012","02","01",114.062
2012-03-01,"2012","03","01",99.334
2012-04-01,"2012","04","01",54.896
2012-05-01,"2012","05","01",34.209
2012-06-01,"2012","06","01",22.26
2012-07-01,"2012","07","01",23.714
2012-08-01,"2012","08","01",38.665
2012-09-01,"2012","09","01",63.317
2012-10-01,"2012","10","01",90.531
2012-11-01,"2012","11","01",125.883
2012-12-01,"2012","12","01",117.202
2013-01-01,"2013","01","01",166.743
2013-02-01,"2013","02","01",118.27
2013-03-01,"2013","03","01",92.2
2013-04-01,"2013","04","01",59.449
2013-05-01,"2013","05","01",32.623
2013-06-01,"2013","06","01",22.273
2013-07-01,"2013","07","01",25.418
2013-08-01,"2013","08","01",35.292
2013-09-01,"2013","09","01",55.139
2013-10-01,"2013","10","01",97.273
2013-11-01,"2013","11","01",118.891
2013-12-01,"2013","12","01",157.23
2014-01-01,"2014","01","01",150.867
2014-02-01,"2014","02","01",110.262
2014-03-01,"2014","03","01",88.806
2014-04-01,"2014","04","01",53.823
2014-05-01,"2014","05","01",33.21
2014-06-01,"2014","06","01",21.485
2014-07-01,"2014","07","01",24.486
2014-08-01,"2014","08","01",41.795
2014-09-01,"2014","09","01",56.34
2014-10-01,"2014","10","01",91.728
2014-11-01,"2014","11","01",112.13
2014-12-01,"2014","12","01",139.334
2015-01-01,"2015","01","01",163.77
2015-02-01,"2015","02","01",128.087
2015-03-01,"2015","03","01",107.695
2015-04-01,"2015","04","01",59.554
2015-05-01,"2015","05","01",33.956
2015-06-01,"2015","06","01",21.046
2015-07-01,"2015","07","01",23.187
