"date","year","month","day","9414001"
1998-03-01,1998,3,1,107.481
1998-04-01,1998,4,1,136.718
1998-05-01,1998,5,1,254.328
1998-06-01,1998,6,1,127.067
1998-07-01,1998,7,1,199.935
1998-08-01,1998,8,1,314.391
1998-09-01,1998,9,1,138.661
1998-10-01,1998,10,1,79.051
1998-11-01,1998,11,1,132.834
1998-12-01,1998,12,1,100.08
1999-01-01,1999,1,1,42.977
1999-02-01,1999,2,1,43.971
1999-03-01,1999,3,1,131.013
1999-04-01,1999,4,1,102.002
1999-05-01,1999,5,1,337.836
1999-06-01,1999,6,1,482.788
1999-07-01,1999,7,1,127.472
1999-08-01,1999,8,1,468.769
1999-09-01,1999,9,1,290.815
1999-10-01,1999,10,1,112.978
1999-11-01,1999,11,1,119.014
1999-12-01,1999,12,1,87.595
2000-01-01,2000,1,1,38.288
2000-02-01,2000,2,1,131.847
2000-03-01,2000,3,1,95.569
2000-04-01,2000,4,1,183.452
2000-05-01,2000,5,1,236.424
2000-06-01,2000,6,1,816.403
2000-07-01,2000,7,1,317.308
2000-08-01,2000,8,1,229.266
2000-09-01,2000,9,1,235.958
2000-10-01,2000,10,1,146.428
2000-11-01,2000,11,1,150.413
2000-12-01,2000,12,1,156.982
2001-01-01,2001,1,1,69.174
2001-02-01,2001,2,1,26.581
2001-03-01,2001,3,1,146.628
2001-04-01,2001,4,1,90.196
2001-05-01,2001,5,1,619.39
2001-06-01,2001,6,1,416.192
2001-07-01,2001,7,1,680.194
2001-08-01,2001,8,1,187.183
2001-09-01,2001,9,1,99.809
2001-10-01,2001,10,1,94.346
2001-11-01,2001,11,1,183.209
2001-12-01,2001,12,1,57.666
2002-01-01,2002,1,1,38.684
2002-02-01,2002,2,1,39.375
2002-03-01,2002,3,1,270.807
2002-04-01,2002,4,1,154.68
2002-05-01,2002,5,1,341.163
2002-06-01,2002,6,1,205.146
2002-07-01,2002,7,1,180.943
2002-08-01,2002,8,1,318.777
2002-09-01,2002,9,1,200.346
2002-10-01,2002,10,1,358.716
2002-11-01,2002,11,1,231.054
2002-12-01,2002,12,1,149.961
2003-01-01,2003,1,1,36.492
2003-02-01,2003,2,1,26.059
2003-03-01,2003,3,1,94.655
2003-04-01,2003,4,1,130.284
2003-05-01,2003,5,1,167.075
2003-06-01,2003,6,1,662.602
2003-07-01,2003,7,1,246.5
2003-08-01,2003,8,1,194.964
2003-09-01,2003,9,1,242.333
2003-10-01,2003,10,1,148.151
2003-11-01,2003,11,1,198.981
2003-12-01,2003,12,1,105.459
2004-01-01,2004,1,1,26.85
2004-02-01,2004,2,1,29.256
2004-03-01,2004,3,1,129.417
2004-04-01,2004,4,1,308.11
2004-05-01,2004,5,1,138.395
2004-06-01,2004,6,1,482.76
2004-07-01,2004,7,1,350.129
2004-08-01,2004,8,1,267.399
2004-09-01,2004,9,1,153.255
2004-10-01,2004,10,1,167.563
2004-11-01,2004,11,1,193.653
2004-12-01,2004,12,1,120.416
2005-01-01,2005,1,1,46.63
2005-02-01,2005,2,1,21.101
2005-03-01,2005,3,1,132.916
2005-04-01,2005,4,1,89.206
2005-05-01,2005,5,1,686.935
2005-06-01,2005,6,1,375.062
2005-07-01,2005,7,1,239.718
2005-08-01,2005,8,1,385.313
2005-09-01,2005,9,1,109.617
2005-10-01,2005,10,1,137.718
2005-11-01,2005,11,1,364.925
2005-12-01,2005,12,1,119.637
2006-01-01,2006,1,1,85.455
2006-02-01,2006,2,1,37.586
2006-03-01,2006,3,1,134.064
2006-04-01,2006,4,1,197.728
2006-05-01,2006,5,1,175.177
2006-06-01,2006,6,1,520.035
2006-07-01,2006,7,1,509.327
